Product ID,Total_Units_Sold,Estimated_Net_Sales,Average_Inventory,Value_Share_%,ABC_Class,Mean_Monthly_Demand,Std_Monthly_Demand,CV_%,XYZ_Class,ABC_XYZ_Segment,Management_Profile,Suggested_Strategy
P0016,508009,25303317.5145,277.6364383561644,5.118572657154305,A,21167.041666666668,1440.5107028914877,6.805441807014384,X,AX,High Value - Stable Demand,Tight control; frequent review; lean safety stock
P0014,506630,25218608.871,277.84027397260274,5.1014370643137505,A,21109.583333333332,1146.3154174274562,5.430308118007017,X,AX,High Value - Stable Demand,Tight control; frequent review; lean safety stock
P0007,499092,24774486.9445,274.92246575342466,5.011596261892373,A,20795.5,1298.7849505696042,6.24550960818256,X,AX,High Value - Stable Demand,Tight control; frequent review; lean safety stock
P0004,495146,24704067.5855,271.613698630137,4.997351228398042,A,20631.083333333332,1183.5673753040246,5.736816415218257,X,AX,High Value - Stable Demand,Tight control; frequent review; lean safety stock
P0006,496151,24498618.735,273.46082191780823,4.955791268206638,A,20672.958333333332,1249.5795633511807,6.0445125617862985,X,AX,High Value - Stable Demand,Tight control; frequent review; lean safety stock
P0019,497022,24468882.149,274.55890410958904,4.949775895877318,A,20709.25,1231.3247108209357,5.945771627755403,X,AX,High Value - Stable Demand,Tight control; frequent review; lean safety stock
P0011,498972,25430402.908999998,272.89287671232876,5.144280583596701,A,20790.5,1438.845642384442,6.920688018010352,Y,AY,High Value - Moderate Variability,Frequent review; moderate safety stock
P0005,502619,25115181.3185,272.88575342465754,5.08051484959153,A,20942.458333333332,1426.464098488063,6.811349822373113,Y,AY,High Value - Moderate Variability,Frequent review; moderate safety stock
P0015,506356,24894236.142,276.3695890410959,5.035820159319595,A,21098.166666666668,1440.2977852322515,6.826649006938604,Y,AY,High Value - Moderate Variability,Frequent review; moderate safety stock
P0001,497192,24571677.762,272.93698630136987,4.9705702764432536,A,20716.333333333332,1430.8331311775535,6.906787548524772,Y,AY,High Value - Moderate Variability,Frequent review; moderate safety stock
P0010,495357,24471727.992,274.83643835616436,4.95035157747156,A,20639.875,1413.6501415930632,6.849121623038236,Y,AY,High Value - Moderate Variability,Frequent review; moderate safety stock
P0020,506905,25466301.5025,276.818904109589,5.151542459791951,A,21121.041666666668,1653.6895371093474,7.829583233667912,Z,AZ,High Value - High Variability,Very close monitoring; higher safety buffer
P0013,499983,25092974.5135,275.01753424657534,5.076022666113589,A,20832.625,1578.8174664575076,7.578581510767403,Z,AZ,High Value - High Variability,Very close monitoring; higher safety buffer
P0009,501761,24805140.839,275.38438356164386,5.017797195273266,A,20906.708333333332,1675.706793880711,8.015163205816528,Z,AZ,High Value - High Variability,Very close monitoring; higher safety buffer
P0018,492236,24476057.0585,272.6167123287671,4.9512272982700365,A,20509.833333333332,1543.069151333505,7.523557730845392,Z,AZ,High Value - High Variability,Very close monitoring; higher safety buffer
P0003,492949,24348433.803,275.01616438356166,4.925410568679342,B,20539.541666666668,1214.0157215215334,5.910627127049005,X,BX,Medium Value - Stable Demand,Periodic review; efficient replenishment
P0017,500198,24318999.513,278.38164383561644,4.919456347384431,B,20841.583333333332,1581.8089511603516,7.589677453298183,Z,BZ,Medium Value - High Variability,Monitor variability; maintain additional buffer
P0008,487556,24161217.558,272.7553424657534,4.887538856715764,B,20314.833333333332,1653.932064917516,8.141499552465847,Z,BZ,Medium Value - High Variability,Monitor variability; maintain additional buffer
P0002,487196,24143629.233,271.1331506849315,4.883980939087826,C,20299.833333333332,1417.8025148145607,6.984306183866342,Y,CY,Lower Value - Moderate Variability,Periodic review; flexible replenishment
P0012,491008,24079270.2295,272.5854794520548,4.870961846418733,C,20458.666666666668,1950.6584544192006,9.534631392168928,Z,CZ,Lower Value - High Variability,Conservative stocking; avoid excess inventory
