File,Rows,Columns,Size_KB
abc_executive_summary.csv,3,5,0.1650390625
abc_xyz_product_segmentation.csv,20,13,4.095703125
abc_xyz_segment_summary.csv,7,3,0.11328125
executive_kpis.csv,23,2,0.74609375
final_project_architecture.csv,6,3,0.7841796875
final_project_findings.csv,7,2,1.1552734375
forecast_accuracy_comparison.csv,2,4,0.216796875
forecast_decision_support_comparison.csv,9200,78,6372.8701171875
forecast_inventory_risk_comparison.csv,4,5,0.2451171875
forecast_replenishment_comparison.csv,2,3,0.1220703125
historical_inventory_kpis.csv,4,3,0.1865234375
historical_inventory_risk.csv,73000,48,26908.8583984375
historical_inventory_risk_summary.csv,4,8,0.55859375
linear_regression_feature_influence.csv,57,5,5.2314453125
ml_test_predictions_and_errors.csv,9200,12,1218.57421875
priority_shortage_records.csv,4,13,0.51171875
product_inventory_risk_summary.csv,20,10,1.55078125
