Product ID,Records,Shortage_Risk_Records,Tight_Coverage_Records,Excess_Inventory_Records,Total_Recommended_Replenishment,Average_Inventory_Gap,Shortage_Risk_Rate_%,Excess_Rate_%,ABC_XYZ_Segment
P0008,3650,1,1,2557,3,237.36383561643837,0.0273972602739726,70.05479452054794,BZ
P0009,3650,1,2,2509,2,234.91224109589044,0.0273972602739726,68.73972602739727,AZ
P0019,3650,1,4,2535,2,235.84040821917807,0.0273972602739726,69.45205479452055,AX
P0016,3650,1,3,2518,1,235.888898630137,0.0273972602739726,68.98630136986301,AX
P0001,3650,0,3,2542,0,236.15622465753424,0.0,69.64383561643835,AY
P0002,3650,0,3,2565,0,235.62604109589043,0.0,70.27397260273973,CY
P0003,3650,0,1,2564,0,237.95337534246573,0.0,70.24657534246576,BX
P0004,3650,0,3,2510,0,231.705997260274,0.0,68.76712328767123,AX
P0005,3650,0,1,2514,0,232.85909863013697,0.0,68.87671232876713,AY
P0006,3650,0,0,2556,0,233.96995616438355,0.0,70.02739726027397,AX
P0007,3650,0,2,2547,0,234.9169287671233,0.0,69.78082191780823,AX
P0010,3650,0,3,2501,0,237.61689041095892,0.0,68.52054794520548,AY
P0011,3650,0,1,2502,0,233.78810410958903,0.0,68.54794520547945,AY
P0012,3650,0,3,2565,0,236.3792712328767,0.0,70.27397260273973,CZ
P0013,3650,0,0,2525,0,236.72150410958903,0.0,69.17808219178082,AZ
P0014,3650,0,1,2528,0,237.15011232876714,0.0,69.26027397260273,AX
P0015,3650,0,1,2493,0,235.09223287671233,0.0,68.30136986301369,AY
P0017,3650,0,2,2562,0,239.63118082191784,0.0,70.1917808219178,BZ
P0018,3650,0,3,2535,0,234.77546575342464,0.0,69.45205479452055,AZ
P0020,3650,0,0,2544,0,236.65068219178082,0.0,69.69863013698631,AZ
